usercode,username,address,birthday,height,weight,remark
P001,Allen,台北,2021-02-03,170,75,
P002,Bruce,台中,2020-08-12,180,85,OK
67e15e1f636ed,嚴佳妃,嘉義,1996-08-20,179,93,CW
67e15e1f65826,卓寧鳳,台南,1987-09-03,175,46,UW
67e15e1f65839,許生木,雲林,1973-04-13,171,62,RJ
67e15e1f65845,夏姚綺,桃園,2000-09-24,150,59,WX
67e15e1f6584f,李嬌蔓,基隆,1941-04-03,164,46,MH
67e15e1f6585f,高彥宜,高雄,1954-03-31,186,77,XY
67e15e1f6586c,蔡昌方,屏東,1955-06-17,160,62,YX
67e15e1f65879,卓革雨,宜蘭,1947-02-16,165,49,DH
67e15e1f65887,鮑亞姝,新北,1921-07-15,186,55,DL
67e15e1f65897,費岑婕,雲林,1951-01-23,180,81,DR
67e15e1f658a5,陸季憶,宜蘭,1937-03-09,174,77,TZ
67e15e1f658b4,毛利岳,彰化,1953-01-02,150,94,TP
67e15e1f658c1,王香群,嘉義,1970-06-02,156,71,TN
67e15e1f658cd,荀政東,台東,2019-08-17,174,63,IW
67e15e1f658d3,盧亞仙,基隆,1967-05-01,179,60,MN
67e15e1f658de,黃雪紗,高雄,1991-06-11,152,61,AH
67e15e1f658e7,王逸鶯,雲林,1978-11-14,170,69,OE
67e15e1f658f0,皇甫茱芬,雲林,1980-10-09,179,55,DC
67e15e1f658fa,林舞嫦,雲林,1997-11-25,168,76,MR
67e15e1f65903,花岡軍,桃園,1933-09-02,159,51,FY
P001,Allen,台北,2021-02-03,170,75,
P002,Bruce,台中,2020-08-12,180,85,OK
67e15e1f636ed,嚴佳妃,嘉義,1996-08-20,179,93,CW
67e15e1f65826,卓寧鳳,台南,1987-09-03,175,46,UW
67e15e1f65839,許生木,雲林,1973-04-13,171,62,RJ
67e15e1f65845,夏姚綺,桃園,2000-09-24,150,59,WX
67e15e1f6584f,李嬌蔓,基隆,1941-04-03,164,46,MH
67e15e1f6585f,高彥宜,高雄,1954-03-31,186,77,XY
67e15e1f6586c,蔡昌方,屏東,1955-06-17,160,62,YX
67e15e1f65879,卓革雨,宜蘭,1947-02-16,165,49,DH
67e15e1f65887,鮑亞姝,新北,1921-07-15,186,55,DL
67e15e1f65897,費岑婕,雲林,1951-01-23,180,81,DR
67e15e1f658a5,陸季憶,宜蘭,1937-03-09,174,77,TZ
67e15e1f658b4,毛利岳,彰化,1953-01-02,150,94,TP
67e15e1f658c1,王香群,嘉義,1970-06-02,156,71,TN
67e15e1f658cd,荀政東,台東,2019-08-17,174,63,IW
67e15e1f658d3,盧亞仙,基隆,1967-05-01,179,60,MN
67e15e1f658de,黃雪紗,高雄,1991-06-11,152,61,AH
67e15e1f658e7,王逸鶯,雲林,1978-11-14,170,69,OE
67e15e1f658f0,皇甫茱芬,雲林,1980-10-09,179,55,DC
67e15e1f658fa,林舞嫦,雲林,1997-11-25,168,76,MR
67e15e1f65903,花岡軍,桃園,1933-09-02,159,51,FY
